03:02:07.489194 IP 172.16.167.139 > 171.16.167.136: ICMP echo request, id 4908, seq 0, length 8
03:02:09.599133 IP 172.16.167.139.48431 > 171.16.167.136.auth: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599167 IP 172.16.167.139.48431 > 171.16.167.136.imaps: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599200 IP 172.16.167.139.48431 > 171.16.167.136.microsoft-ds: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599233 IP 172.16.167.139.48431 > 171.16.167.136.smux: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599267 IP 172.16.167.139.48431 > 171.16.167.136.smtp: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599300 IP 172.16.167.139.48431 > 171.16.167.136.submission: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.701594 IP 172.16.167.139.48430 > 171.16.167.136.http: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701686 IP 172.16.167.139.48430 > 171.16.167.136.https: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701726 IP 172.16.167.139.48430 > 171.16.167.136.ftp: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701759 IP 172.16.167.139.48430 > 171.16.167.136.loc-srv: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701793 IP 172.16.167.139.48430 > 171.16.167.136.sunrpc: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701825 IP 172.16.167.139.48430 > 171.16.167.136.256: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701857 IP 172.16.167.139.48430 > 171.16.167.136.imap2: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701890 IP 172.16.167.139.48430 > 171.16.167.136.1720: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.701922 IP 172.16.167.139.48430 > 171.16.167.136.telnet: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.702002 IP 172.16.167.139.48430 > 171.16.167.136.pop3s: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.800166 IP 172.16.167.139.48441 > 171.16.167.136.http: Flags [.], ack 2022469385, win 1024, length 0
03:02:09.800284 IP 172.16.167.139.48431 > 171.16.167.136.imap2: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.800348 IP 172.16.167.139.48431 > 171.16.167.136.256: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.800382 IP 172.16.167.139.48431 > 171.16.167.136.sunrpc: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.800423 IP 172.16.167.139.48431 > 171.16.167.136.loc-srv: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.800457 IP 172.16.167.139.48431 > 171.16.167.136.ftp: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.800489 IP 172.16.167.139.48431 > 171.16.167.136.https: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.800538 IP 171.16.167.136.http > 172.16.167.139.48441: Flags [R], seq 2022469385, win 32767, length 0
03:02:09.803115 IP 172.16.167.139.48431 > 171.16.167.136.pop3s: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.803273 IP 172.16.167.139.48431 > 171.16.167.136.telnet: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.803318 IP 172.16.167.139.48431 > 171.16.167.136.1720: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.903517 IP 172.16.167.139.48431 > 171.16.167.136.http: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.903660 IP 172.16.167.139.48430 > 171.16.167.136.ssh: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.903724 IP 172.16.167.139.48430 > 171.16.167.136.pop3: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.903807 IP 172.16.167.139.48430 > 171.16.167.136.5900: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.903867 IP 172.16.167.139.48430 > 171.16.167.136.netbios-ssn: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.903926 IP 172.16.167.139.48430 > 171.16.167.136.1723: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904010 IP 172.16.167.139.48430 > 171.16.167.136.3389: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904045 IP 172.16.167.139.48430 > 171.16.167.136.8888: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904103 IP 172.16.167.139.48430 > 171.16.167.136.http-alt: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904144 IP 172.16.167.139.48430 > 171.16.167.136.7778: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904223 IP 172.16.167.139.48430 > 171.16.167.136.541: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904313 IP 172.16.167.139.48430 > 171.16.167.136.tcpmux: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904384 IP 172.16.167.139.48430 > 171.16.167.136.1084: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904447 IP 172.16.167.139.48430 > 171.16.167.136.5102: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904529 IP 172.16.167.139.48430 > 171.16.167.136.8291: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904588 IP 172.16.167.139.48430 > 171.16.167.136.2910: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904741 IP 172.16.167.139.48430 > 171.16.167.136.nfs: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904846 IP 172.16.167.139.48430 > 171.16.167.136.1218: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904932 IP 172.16.167.139.48430 > 171.16.167.136.8402: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.904991 IP 172.16.167.139.48430 > 171.16.167.136.7019: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905049 IP 172.16.167.139.48430 > 171.16.167.136.8099: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905131 IP 172.16.167.139.48430 > 171.16.167.136.40911: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905189 IP 172.16.167.139.48430 > 171.16.167.136.1058: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905248 IP 172.16.167.139.48430 > 171.16.167.136.16001: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905329 IP 172.16.167.139.48430 > 171.16.167.136.1023: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905386 IP 172.16.167.139.48430 > 171.16.167.136.2190: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905445 IP 172.16.167.139.48430 > 171.16.167.136.55555: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905503 IP 172.16.167.139.48430 > 171.16.167.136.3369: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905641 IP 172.16.167.139.48430 > 171.16.167.136.5431: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905731 IP 172.16.167.139.48430 > 171.16.167.136.1443: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905790 IP 172.16.167.139.48430 > 171.16.167.136.3269: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905848 IP 172.16.167.139.48430 > 171.16.167.136.19842: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.905972 IP 172.16.167.139.48430 > 171.16.167.136.555: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906035 IP 172.16.167.139.48430 > 171.16.167.136.3128: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906094 IP 172.16.167.139.48430 > 171.16.167.136.10616: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906127 IP 172.16.167.139.48430 > 171.16.167.136.daytime: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906160 IP 172.16.167.139.48430 > 171.16.167.136.webster: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906193 IP 172.16.167.139.48430 > 171.16.167.136.56738: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906225 IP 172.16.167.139.48430 > 171.16.167.136.1137: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906258 IP 172.16.167.139.48430 > 171.16.167.136.8292: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906291 IP 172.16.167.139.48430 > 171.16.167.136.6692: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906323 IP 172.16.167.139.48430 > 171.16.167.136.8011: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906356 IP 172.16.167.139.48430 > 171.16.167.136.9593: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906389 IP 172.16.167.139.48430 > 171.16.167.136.1310: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906421 IP 172.16.167.139.48430 > 171.16.167.136.1087: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906453 IP 172.16.167.139.48430 > 171.16.167.136.rootd: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906486 IP 172.16.167.139.48430 > 171.16.167.136.3580: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906519 IP 172.16.167.139.48430 > 171.16.167.136.nntps: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906554 IP 172.16.167.139.48430 > 171.16.167.136.gsiftp: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.906586 IP 172.16.167.139.48430 > 171.16.167.136.30: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908517 IP 172.16.167.139.48430 > 171.16.167.136.1072: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908581 IP 172.16.167.139.48430 > 171.16.167.136.2038: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908642 IP 172.16.167.139.48430 > 171.16.167.136.ospfd: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908714 IP 172.16.167.139.48430 > 171.16.167.136.27352: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908757 IP 172.16.167.139.48430 > 171.16.167.136.8383: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908815 IP 172.16.167.139.48430 > 171.16.167.136.5101: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908855 IP 172.16.167.139.48430 > 171.16.167.136.9898: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.908912 IP 172.16.167.139.48430 > 171.16.167.136.9099: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909051 IP 172.16.167.139.48430 > 171.16.167.136.1071: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909117 IP 172.16.167.139.48430 > 171.16.167.136.x11-7: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909159 IP 172.16.167.139.48430 > 171.16.167.136.cisco-sccp: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909199 IP 172.16.167.139.48430 > 171.16.167.136.1688: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909255 IP 172.16.167.139.48430 > 171.16.167.136.7106: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909295 IP 172.16.167.139.48430 > 171.16.167.136.45100: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909318 IP 172.16.167.139.48430 > 171.16.167.136.2100: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909340 IP 172.16.167.139.48430 > 171.16.167.136.1078: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909365 IP 172.16.167.139.48430 > 171.16.167.136.nntp: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909387 IP 172.16.167.139.48430 > 171.16.167.136.3268: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909409 IP 172.16.167.139.48430 > 171.16.167.136.1029: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909431 IP 172.16.167.139.48430 > 171.16.167.136.11967: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909453 IP 172.16.167.139.48430 > 171.16.167.136.1761: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909475 IP 172.16.167.139.48430 > 171.16.167.136.kerberos: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909496 IP 172.16.167.139.48430 > 171.16.167.136.2001: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909518 IP 172.16.167.139.48430 > 171.16.167.136.3945: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.909540 IP 172.16.167.139.48430 > 171.16.167.136.1199: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.003997 IP 172.16.167.139.48431 > 171.16.167.136.3389: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.004117 IP 172.16.167.139.48431 > 171.16.167.136.1723: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.004157 IP 172.16.167.139.48431 > 171.16.167.136.netbios-ssn: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.004218 IP 172.16.167.139.48431 > 171.16.167.136.5900: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.004255 IP 172.16.167.139.48431 > 171.16.167.136.pop3: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.004290 IP 172.16.167.139.48431 > 171.16.167.136.ssh: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.004323 IP 172.16.167.139.48430 > 171.16.167.136.648: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.006799 IP 172.16.167.139.48431 > 171.16.167.136.30: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.006931 IP 172.16.167.139.48431 > 171.16.167.136.gsiftp: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.006972 IP 172.16.167.139.48431 > 171.16.167.136.nntps: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007033 IP 172.16.167.139.48431 > 171.16.167.136.3580: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007068 IP 172.16.167.139.48431 > 171.16.167.136.rootd: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007129 IP 172.16.167.139.48431 > 171.16.167.136.1087: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007165 IP 172.16.167.139.48431 > 171.16.167.136.1310: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007198 IP 172.16.167.139.48431 > 171.16.167.136.9593: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007257 IP 172.16.167.139.48431 > 171.16.167.136.8011: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007293 IP 172.16.167.139.48431 > 171.16.167.136.6692: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007352 IP 172.16.167.139.48431 > 171.16.167.136.8292: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007386 IP 172.16.167.139.48431 > 171.16.167.136.1137: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007445 IP 172.16.167.139.48431 > 171.16.167.136.56738: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007478 IP 172.16.167.139.48431 > 171.16.167.136.webster: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007512 IP 172.16.167.139.48431 > 171.16.167.136.daytime: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007571 IP 172.16.167.139.48431 > 171.16.167.136.10616: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007609 IP 172.16.167.139.48431 > 171.16.167.136.3128: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007669 IP 172.16.167.139.48431 > 171.16.167.136.555: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007703 IP 172.16.167.139.48431 > 171.16.167.136.19842: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007761 IP 172.16.167.139.48431 > 171.16.167.136.3269: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007795 IP 172.16.167.139.48431 > 171.16.167.136.1443: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007854 IP 172.16.167.139.48431 > 171.16.167.136.5431: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007889 IP 172.16.167.139.48431 > 171.16.167.136.3369: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007948 IP 172.16.167.139.48431 > 171.16.167.136.55555: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.007982 IP 172.16.167.139.48431 > 171.16.167.136.2190: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008041 IP 172.16.167.139.48431 > 171.16.167.136.1023: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008076 IP 172.16.167.139.48431 > 171.16.167.136.16001: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008163 IP 172.16.167.139.48431 > 171.16.167.136.1058: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008200 IP 172.16.167.139.48431 > 171.16.167.136.40911: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008260 IP 172.16.167.139.48431 > 171.16.167.136.8099: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008294 IP 172.16.167.139.48431 > 171.16.167.136.7019: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008351 IP 172.16.167.139.48431 > 171.16.167.136.8402: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008386 IP 172.16.167.139.48431 > 171.16.167.136.1218: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008454 IP 172.16.167.139.48431 > 171.16.167.136.nfs: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008490 IP 172.16.167.139.48431 > 171.16.167.136.2910: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008548 IP 172.16.167.139.48431 > 171.16.167.136.8291: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008583 IP 172.16.167.139.48431 > 171.16.167.136.5102: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008643 IP 172.16.167.139.48431 > 171.16.167.136.1084: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008678 IP 172.16.167.139.48431 > 171.16.167.136.tcpmux: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008739 IP 172.16.167.139.48431 > 171.16.167.136.541: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008763 IP 172.16.167.139.48431 > 171.16.167.136.7778: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008804 IP 172.16.167.139.48431 > 171.16.167.136.http-alt: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.008826 IP 172.16.167.139.48431 > 171.16.167.136.8888: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011263 IP 172.16.167.139.48431 > 171.16.167.136.1199: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011362 IP 172.16.167.139.48431 > 171.16.167.136.3945: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011393 IP 172.16.167.139.48431 > 171.16.167.136.2001: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011436 IP 172.16.167.139.48431 > 171.16.167.136.kerberos: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011461 IP 172.16.167.139.48431 > 171.16.167.136.1761: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011502 IP 172.16.167.139.48431 > 171.16.167.136.11967: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011527 IP 172.16.167.139.48431 > 171.16.167.136.1029: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011569 IP 172.16.167.139.48431 > 171.16.167.136.3268: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011593 IP 172.16.167.139.48431 > 171.16.167.136.nntp: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011641 IP 172.16.167.139.48431 > 171.16.167.136.1078: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011667 IP 172.16.167.139.48431 > 171.16.167.136.2100: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011709 IP 172.16.167.139.48431 > 171.16.167.136.45100: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011732 IP 172.16.167.139.48431 > 171.16.167.136.7106: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011773 IP 172.16.167.139.48431 > 171.16.167.136.1688: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011797 IP 172.16.167.139.48431 > 171.16.167.136.cisco-sccp: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011838 IP 172.16.167.139.48431 > 171.16.167.136.x11-7: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011866 IP 172.16.167.139.48431 > 171.16.167.136.1071: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011924 IP 172.16.167.139.48431 > 171.16.167.136.9099: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011948 IP 172.16.167.139.48431 > 171.16.167.136.9898: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.011972 IP 172.16.167.139.48431 > 171.16.167.136.5101: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.012079 IP 172.16.167.139.48431 > 171.16.167.136.8383: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.012109 IP 172.16.167.139.48431 > 171.16.167.136.27352: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.012132 IP 172.16.167.139.48431 > 171.16.167.136.ospfd: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.012154 IP 172.16.167.139.48431 > 171.16.167.136.2038: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.012176 IP 172.16.167.139.48431 > 171.16.167.136.1072: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.104498 IP 172.16.167.139.48431 > 171.16.167.136.648: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.104636 IP 172.16.167.139.48430 > 171.16.167.136.2399: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.104702 IP 172.16.167.139.48430 > 171.16.167.136.15004: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.104737 IP 172.16.167.139.48430 > 171.16.167.136.62078: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.104770 IP 172.16.167.139.48430 > 171.16.167.136.17988: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.104802 IP 172.16.167.139.48430 > 171.16.167.136.2909: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.104835 IP 172.16.167.139.48430 > 171.16.167.136.3905: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.107200 IP 172.16.167.139.48430 > 171.16.167.136.6389: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
