17:54:11.734536 ARP, Request who-has 192.168.10.133 (Broadcast) tell 192.168.10.134, length 46
17:54:11.734781 ARP, Reply 192.168.10.133 is-at 00:0c:29:c5:fb:e2 (oui Unknown), length 46
17:54:11.936132 IP 192.168.10.134.56282 > 192.168.10.2.domain: 60827+ PTR? 133.10.168.192.in-addr.arpa. (45)
17:54:11.937951 IP 192.168.10.2.domain > 192.168.10.134.56282: 60827 NXDomain 0/1/0 (95)
17:54:11.939360 IP 192.168.10.134.61339 > 192.168.10.133.1723: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.044810 IP 192.168.10.133.https > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044847 IP 192.168.10.133.ssh > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044946 IP 192.168.10.134.61340 > 192.168.10.133.netbios-ssn: Flags [R], seq 828718496, win 0, length 0
17:54:13.045014 IP 192.168.10.134.61340 > 192.168.10.133.microsoft-ds: Flags [R], seq 828718496, win 0, length 0
17:54:13.045074 IP 192.168.10.133.rtsp > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.045144 IP 192.168.10.133.mysql > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.045182 IP 192.168.10.133.1025 > 192.168.10.134.61339: Flags [S.], seq 184744743, ack 828652959, win 64240, options [mss 1460], length 0
17:54:13.045383 IP 192.168.10.134.61339 > 192.168.10.133.1025: Flags [R], seq 828652959, win 0, length 0
17:54:13.046979 IP 192.168.10.134.61339 > 192.168.10.133.http: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047091 IP 192.168.10.134.61339 > 192.168.10.133.auth: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047163 IP 192.168.10.134.61339 > 192.168.10.133.pop3: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047228 IP 192.168.10.134.61339 > 192.168.10.133.telnet: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047291 IP 192.168.10.134.61339 > 192.168.10.133.loc-srv: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047360 IP 192.168.10.134.61339 > 192.168.10.133.imap2: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047425 IP 192.168.10.134.61339 > 192.168.10.133.34573: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047495 IP 192.168.10.134.61339 > 192.168.10.133.5901: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047600 IP 192.168.10.134.61339 > 192.168.10.133.27356: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047710 IP 192.168.10.134.61339 > 192.168.10.133.726: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047780 IP 192.168.10.134.61339 > 192.168.10.133.55055: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047846 IP 192.168.10.134.61339 > 192.168.10.133.radius: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.047949 IP 192.168.10.134.61339 > 192.168.10.133.714: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048020 IP 192.168.10.134.61339 > 192.168.10.133.1107: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048086 IP 192.168.10.134.61339 > 192.168.10.133.8083: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048164 IP 192.168.10.134.61339 > 192.168.10.133.1839: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048291 IP 192.168.10.134.61339 > 192.168.10.133.qotd: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048357 IP 192.168.10.134.61339 > 192.168.10.133.10778: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048421 IP 192.168.10.134.61339 > 192.168.10.133.1064: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048516 IP 192.168.10.134.61339 > 192.168.10.133.2002: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048581 IP 192.168.10.134.61339 > 192.168.10.133.5500: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048729 IP 192.168.10.134.61339 > 192.168.10.133.5810: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048802 IP 192.168.10.134.61339 > 192.168.10.133.8100: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048871 IP 192.168.10.134.61339 > 192.168.10.133.8994: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048909 IP 192.168.10.134.61339 > 192.168.10.133.8292: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048951 IP 192.168.10.134.61339 > 192.168.10.133.20221: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.048989 IP 192.168.10.134.61339 > 192.168.10.133.2809: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.049025 IP 192.168.10.134.61339 > 192.168.10.133.10243: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.049099 IP 192.168.10.133.http > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049169 IP 192.168.10.133.auth > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049207 IP 192.168.10.133.pop3 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049274 IP 192.168.10.133.telnet > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049311 IP 192.168.10.133.loc-srv > 192.168.10.134.61339: Flags [S.], seq 184787470, ack 828652959, win 64240, options [mss 1460], length 0
17:54:13.049376 IP 192.168.10.133.imap2 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049442 IP 192.168.10.133.34573 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049513 IP 192.168.10.133.5901 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049550 IP 192.168.10.133.27356 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049587 IP 192.168.10.133.726 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049679 IP 192.168.10.133.55055 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049753 IP 192.168.10.133.radius > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049791 IP 192.168.10.133.714 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049828 IP 192.168.10.133.1107 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049894 IP 192.168.10.133.8083 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.049958 IP 192.168.10.133.1839 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050029 IP 192.168.10.133.qotd > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050093 IP 192.168.10.133.10778 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050131 IP 192.168.10.133.1064 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050167 IP 192.168.10.133.2002 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050233 IP 192.168.10.133.5500 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050296 IP 192.168.10.133.5810 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050334 IP 192.168.10.133.8100 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050371 IP 192.168.10.133.8994 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050436 IP 192.168.10.133.8292 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050501 IP 192.168.10.133.20221 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050538 IP 192.168.10.133.2809 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.050637 IP 192.168.10.134.61339 > 192.168.10.133.loc-srv: Flags [R], seq 828652959, win 0, length 0
17:54:13.050822 IP 192.168.10.133.10243 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.143703 IP 192.168.10.134.61339 > 192.168.10.133.isisd: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.143923 IP 192.168.10.134.61339 > 192.168.10.133.3801: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144026 IP 192.168.10.134.61339 > 192.168.10.133.4998: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144122 IP 192.168.10.134.61339 > 192.168.10.133.3: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144171 IP 192.168.10.134.61339 > 192.168.10.133.31337: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144266 IP 192.168.10.133.isisd > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.144339 IP 192.168.10.134.61339 > 192.168.10.133.4567: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144560 IP 192.168.10.133.3801 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.144654 IP 192.168.10.133.4998 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.144703 IP 192.168.10.133.3 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.144760 IP 192.168.10.133.31337 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.144843 IP 192.168.10.134.61339 > 192.168.10.133.9110: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144894 IP 192.168.10.134.61339 > 192.168.10.133.2043: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.144937 IP 192.168.10.134.61339 > 192.168.10.133.1067: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145059 IP 192.168.10.133.4567 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.145141 IP 192.168.10.134.61339 > 192.168.10.133.1053: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145189 IP 192.168.10.134.61339 > 192.168.10.133.5087: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145254 IP 192.168.10.133.9110 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.145325 IP 192.168.10.134.61339 > 192.168.10.133.kpasswd: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145396 IP 192.168.10.133.2043 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.145486 IP 192.168.10.133.1067 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.145557 IP 192.168.10.134.61339 > 192.168.10.133.1071: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145605 IP 192.168.10.134.61339 > 192.168.10.133.5214: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145651 IP 192.168.10.134.61339 > 192.168.10.133.2191: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145729 IP 192.168.10.134.61339 > 192.168.10.133.1068: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145772 IP 192.168.10.134.61339 > 192.168.10.133.2034: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145848 IP 192.168.10.134.61339 > 192.168.10.133.1310: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.145895 IP 192.168.10.134.61339 > 192.168.10.133.1089: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146063 IP 192.168.10.133.1053 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.146136 IP 192.168.10.133.5087 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.146201 IP 192.168.10.133.kpasswd > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.146312 IP 192.168.10.133.1071 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.146375 IP 192.168.10.133.5214 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.146456 IP 192.168.10.134.61339 > 192.168.10.133.afpovertcp: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146506 IP 192.168.10.134.61339 > 192.168.10.133.1123: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146547 IP 192.168.10.134.61339 > 192.168.10.133.ripd: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146623 IP 192.168.10.134.61339 > 192.168.10.133.1717: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146670 IP 192.168.10.134.61339 > 192.168.10.133.1092: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146713 IP 192.168.10.134.61339 > 192.168.10.133.8383: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146760 IP 192.168.10.134.61339 > 192.168.10.133.omniorb: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146837 IP 192.168.10.134.61339 > 192.168.10.133.617: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146884 IP 192.168.10.134.61339 > 192.168.10.133.49159: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.146991 IP 192.168.10.134.61339 > 192.168.10.133.83: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.147037 IP 192.168.10.134.61339 > 192.168.10.133.6567: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.147083 IP 192.168.10.134.61339 > 192.168.10.133.1037: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.147159 IP 192.168.10.134.61339 > 192.168.10.133.8181: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.147201 IP 192.168.10.134.61339 > 192.168.10.133.nrpe: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.147279 IP 192.168.10.133.2191 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147331 IP 192.168.10.133.1068 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147374 IP 192.168.10.133.2034 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147415 IP 192.168.10.133.1310 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147490 IP 192.168.10.133.1089 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147532 IP 192.168.10.133.afpovertcp > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147573 IP 192.168.10.133.1123 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147648 IP 192.168.10.133.ripd > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147690 IP 192.168.10.133.1717 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147894 IP 192.168.10.133.1092 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.147990 IP 192.168.10.133.8383 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148065 IP 192.168.10.133.omniorb > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148102 IP 192.168.10.133.617 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148261 IP 192.168.10.133.49159 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148321 IP 192.168.10.133.83 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148390 IP 192.168.10.133.6567 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148427 IP 192.168.10.133.1037 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148535 IP 192.168.10.133.8181 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.148573 IP 192.168.10.133.nrpe > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.243936 IP 192.168.10.134.61340 > 192.168.10.133.isisd: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.244331 IP 192.168.10.133.isisd > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.246960 IP 192.168.10.134.61340 > 192.168.10.133.617: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247087 IP 192.168.10.134.61340 > 192.168.10.133.omniorb: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247184 IP 192.168.10.134.61340 > 192.168.10.133.8383: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247249 IP 192.168.10.134.61340 > 192.168.10.133.1092: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247319 IP 192.168.10.134.61340 > 192.168.10.133.1717: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247383 IP 192.168.10.134.61340 > 192.168.10.133.ripd: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247452 IP 192.168.10.134.61340 > 192.168.10.133.1123: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247552 IP 192.168.10.134.61340 > 192.168.10.133.afpovertcp: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247633 IP 192.168.10.134.61340 > 192.168.10.133.1089: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247732 IP 192.168.10.134.61340 > 192.168.10.133.1310: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247801 IP 192.168.10.134.61340 > 192.168.10.133.2034: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247869 IP 192.168.10.134.61340 > 192.168.10.133.1068: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247907 IP 192.168.10.134.61340 > 192.168.10.133.2191: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.247944 IP 192.168.10.134.61340 > 192.168.10.133.5214: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
